cluster_id,cluster_name,domain,entry_onet_code,entry_occupation,entry_education,entry_wage_annual,industry_slug,industry_display_name,notes
nursing,Registered Nursing,Healthcare,31-1131.00,Nursing Assistants,Post-secondary certificate,39530,,,Entry point is CNA. LPN is an optional intermediate step. RN is the core career. Advanced practice branches at RN level.
law-enforcement,Law Enforcement,Public Safety,33-3051.00,Police and Sheriff's Patrol Officers,High school diploma or equivalent,76290,,,Entry is patrol officer after academy. Detective and supervisor are parallel advancement tracks. Private investigation is a lateral exit.
transit-police,Transit and Railroad Police,Public Safety,33-3052.00,Transit and Railroad Police,High school diploma or equivalent,82320,,,Direct public entry via transit agency academy. Not a promotion from municipal patrol. Own ladder within transit/railroad agencies.
aviation-operations,Aviation Operations,Transportation,53-6032.00,Aircraft Service Attendants,High school diploma or equivalent,41540,,,Entry is airfield ops (ground-side safety and compliance). ATC and aviation inspector are parallel advancement paths. Military ATC (AFSC 1C7X1 / Army 15Q) is a major feeder into both the airfield ops and ATC civilian roles but has no O*NET code.
software-technology,Software & Technology,Technology,15-1251.00,Computer Programmers,Bachelor's degree,99700,software-technology,Software & Technology,Entry is junior programming/coding. Web Developer is the core role. Branches into design (UX/UI), infrastructure (DevOps), QA, security, data/ML, and management. Software Developer is the canonical senior advancement. Computer Programmer entry wage sourced from BLS.
sales,Sales & Business Development,Sales,41-2031.00,Retail Salespersons,High school diploma or equivalent,34580,sales-business-development,Sales & Business Development,Multiple entry points: retail/general sales (low barrier) and specialized sales (insurance). Core B2B path leads to wholesale sales reps then management. Real estate is a parallel specialization track. Sales Engineers are a high-resilience lateral entry for those with technical domain expertise.
analysts,Business & Financial Analysis,Business,13-2031.00,Budget Analysts,Bachelor's degree,82260,,,Entry via budget analysis (government/corporate). Core mid-level is management consulting. Branches into financial analysis and compliance/regulatory roles. Financial Examiners (13-2061) are the highest-resilience senior destination.
finance,Finance & Accounting,Business,43-3031.00,Bookkeeping Accounting and Auditing Clerks,High school diploma or equivalent,49210,finance-accounting,Finance & Accounting,Multiple entry points: bookkeeping clerks (no degree, lowest barrier) and tax preparers (certificate/license). Core path leads to accountant/auditor. Branches into lending, financial advising, risk, and examiner roles. Financial Managers are the leadership destination at $162k.
marketing,Marketing & Growth,Business,13-1161.00,Market Research Analysts and Marketing Specialists,Bachelor's degree,76950,marketing-growth,Marketing & Growth,Entry via market research (data-driven). Core path leads to digital/search marketing then brand or marketing management. PR and content/editorial are parallel specialization tracks. Ad sales agents (sales cluster) can cross over via search marketing. Marketing Managers ($161k) are the leadership destination.
design,Design & Visual Creative,Creative,27-1024.00,Graphic Designers,Bachelor's degree,61300,,,Multiple entry points by medium: graphic design (generalist), animation/VFX (digital), and merchandise display (no-degree retail track). Core advancement leads to art direction. Parallel specialization tracks: product/industrial design, fashion, interior, set/exhibit. Art Directors ($111k) are the canonical creative leadership destination.
