onet_code,job_title,notes
11-2021.00,Social Media Manager,Manages brand social presence and strategy; closer to Marketing Manager scope than Marketing Specialist
13-1161.00,Content Strategist,Content planning and editorial strategy role mapped to Marketing Specialists
13-1161.00,Content Marketer,Content creation and distribution for marketing pipelines
13-1161.01,SEO Specialist,Search optimization role; 13-1161.01 (Search Marketing Strategists) is closest code
13-1161.01,Paid Media Specialist,PPC/SEM advertising management; mapped to Search Marketing Strategists
13-1161.00,Email Marketing Manager,Email campaign strategy and execution; no dedicated O*NET code
13-1161.00,Brand Strategist,Brand positioning and identity work; no dedicated O*NET code
15-1255.00,Product Designer,End-to-end product design role (research + UI); common title for Web/Digital Interface Designers
27-1024.00,Motion Designer,Animation and motion graphics; lumped into Graphic Designers in O*NET
27-4032.00,Video Editor,Post-production editing; O*NET code exists (27-4032) but role is broader than listed
27-3043.00,Copywriter,Advertising and marketing copy; mapped to Writers and Authors
27-3043.00,Content Writer,General content creation for web/marketing; no dedicated O*NET code
11-2021.00,Growth Marketer,Data-driven acquisition and retention marketing; mapped to Marketing Managers
11-2021.00,Demand Generation Manager,B2B pipeline/lead generation marketing; no dedicated O*NET code
15-1251.00,Junior Software Developer,"Frequently used in job postings as a broader term for programming work, emphasizing software creation over traditional 'programmer' terminology, though O*NET uses more specific titles."
15-1251.00,Full Stack Developer,"Commonly searched and posted for roles requiring both frontend and backend programming skills, a specialization not explicitly named in O*NET's sample titles despite being widespread."
15-1251.00,Backend Developer,"Regularly appears in job boards for server-side and database programming work, distinguishing backend-focused roles from the more general programmer titles in O*NET."
15-1251.00,Frontend Developer,"Frequently posted for client-side and UI programming roles, representing a common specialization within computer programming that O*NET's titles don't explicitly separate."
15-1254.00,Frontend Developer,"Commonly used in job postings to specify web developers focused on client-side technologies (HTML, CSS, JavaScript), distinct from full-stack or backend roles."
15-1254.00,Full Stack Developer,"Frequently searched and posted role describing web developers who work across both frontend and backend systems, reflecting modern development practices not captured by generic 'Web Developer'."
15-1254.00,WordPress Developer,"Specialized web developer role heavily advertised on job boards, focusing on WordPress platform development and customization for clients and agencies."
15-1254.00,React Developer,"High-demand job title in actual postings targeting web developers specializing in the React JavaScript framework, reflecting current market emphasis on specific technology stacks."
15-1299.01,Digital Web Coordinator,Commonly posted title that emphasizes the coordination of digital assets and web operations without the 'manager' or 'administrator' hierarchy implied by O*NET titles.
15-1299.01,Web Operations Specialist,"Frequently searched role focusing on the technical operations and maintenance aspects of web infrastructure, distinct from the content and administrative focus of standard Web Administrator titles."
15-1299.01,Website Technician,"Real job posting title that highlights the hands-on technical maintenance and troubleshooting of websites, appealing to candidates seeking technical rather than managerial roles."
15-1299.01,Web Infrastructure Manager,"Job board title that emphasizes management of web servers, hosting, and technical infrastructure—a key responsibility of web administrators that isn't clearly captured in O*NET's sample titles."
15-1253.00,QA Automation Engineer,"Combines QA focus with explicit automation specialization, commonly searched on job boards as a distinct role emphasizing test automation skills over manual testing."
15-1253.00,Test Automation Engineer,"Prioritizes automation expertise in job postings while remaining distinct from the broader 'Software Test Engineer' title, reflecting modern QA roles focused on code-based testing frameworks."
15-1253.00,Quality Assurance Tester,"Merges 'Quality Assurance' with 'Tester' terminology that appears frequently in postings but isn't explicitly listed in O*NET samples, appealing to candidates searching for hands-on testing roles."
15-1253.00,SDET (Software Development Engineer in Test),"Represents a specialized, high-demand variant combining software engineering and testing expertise that is widely searched but absent from O*NET titles, reflecting modern DevOps-influenced QA practices."
15-1252.00,Full Stack Developer,"Commonly searched role combining frontend and backend development work, frequently appearing in job postings but not explicitly listed in O*NET's sample titles despite being a primary way companies advertise software developer positions."
15-1252.00,Backend Developer,"Highly frequent job posting title for developers specializing in server-side and database work, representing a major specialization within software development that isn't captured by O*NET's broader titles."
15-1252.00,Frontend Developer,"Commonly used title for developers focusing on user interfaces and client-side applications, representing another major specialization area that job seekers actively search for but isn't explicitly in O*NET's sample list."
15-1252.00,Mobile Developer,"Frequently posted role for developers specializing in mobile app development (iOS, Android, cross-platform), representing a significant and searchable specialization distinct from general software developer roles."
15-1243.00,Solutions Architect,"Frequently posted role that designs database solutions and system architectures for clients, overlapping with database architects' system design responsibilities but emphasizing client-facing solution delivery."
15-1243.00,Database Administrator,"Commonly searched title that bridges database architects and operations, focusing on database maintenance, optimization, and administration rather than pure design and architecture."
15-1243.00,Cloud Database Architect,"Increasingly common in job postings for architects specializing in cloud-based database systems (AWS, Azure, GCP), reflecting modern market demand not explicitly captured in O*NET titles."
