onet_code,emerging_title,description,core_tools,stat_text,stat_source,stat_title,stat_date,stat_url,search_query,job_search_url,fit,steps_json,experience_level
27-1026.00,Visual Merchandising Specialist,"Designs and executes in-store displays and product presentations to maximize sales and brand impact, using data analytics to optimize placement.","Planoly, Adobe Express, Canva","The global visual merchandising market is projected to reach $7.5 billion by 2027, driven by the growth of experiential retail.",Allied Market Research,Visual Merchandising Market Report,Jan 2024,https://www.alliedmarketresearch.com/visual-merchandising-market,"""Visual Merchandising Specialist"" AI tools jobs 2025",,Merchandise displayers already understand brand presentation and customer flow; this role adds data-driven optimization and digital channel coordination.,,2
27-1026.00,E-Commerce Visual Stylist,"Directs product photography and digital shelf presentation for online retailers, ensuring visual consistency across platforms and AI-assisted styling tools.","Adobe Firefly, Canva, Shopify","U.S. e-commerce sales exceeded $1.1 trillion in 2023, creating sustained demand for digital-first visual merchandising roles.",U.S. Census Bureau,Quarterly Retail E-Commerce Sales,Feb 2024,https://www.census.gov/retail/ecommerce.html,"""E-Commerce Stylist"" OR ""Digital Visual Merchandiser"" jobs 2025",,"Physical display skills transfer to digital shelf curation, but this role requires learning photography direction and e-commerce platform standards.",,2
27-1026.00,Retail Experience Designer,"Creates holistic in-store customer experiences combining visual merchandising, spatial design, and digital touchpoints for experiential retail concepts.","Miro, SketchUp, Adobe XD","Experiential retail locations generate 2-5x the sales per square foot of traditional retail formats, driving sustained investment.",CBRE Research,Retail Horizons: Experiential Retail,Mar 2024,https://www.cbre.com/insights/reports/retail-horizons,"""Retail Experience Designer"" OR ""In-store Experience Designer"" jobs 2025",,"Visual merchandising experience in physical space is the foundation; this role adds spatial design, customer journey mapping, and cross-channel coordination.",,3
27-1024.00,AI-Assisted Brand Designer,"Creates brand identities and visual systems using AI generation tools alongside traditional design skills, directing output for brand consistency.","Adobe Firefly, Midjourney, Figma",Job postings requiring AI tool proficiency for design roles increased 250% year-over-year in 2024 according to LinkedIn Economic Graph data.,LinkedIn Economic Graph,Future of Work Report: AI at Work,Nov 2023,https://economicgraph.linkedin.com/research/future-of-work-report-ai,"""Brand Designer"" AI tools jobs 2025",,Graphic design fundamentals carry directly over; this role adds AI tool direction and brand system scale.,,2
27-1024.00,Motion Designer,"Creates animated graphics and digital content for brands and media, combining graphic design with motion tools and AI video generation.","After Effects, RunwayML, Rive","Motion graphics roles have grown 34% in job postings since 2022, driven by social media content demand and video-first brand strategies.",Lightcast,Creative Economy Jobs Report,Jul 2024,https://lightcast.io/resources/research,"""Motion Designer"" AI tools 2025 jobs",,Graphic design composition skills carry directly into motion; the shift requires learning timeline tools and animation principles.,,2
27-1024.00,UX/Product Designer,"Designs user interfaces and digital product experiences, combining visual design with user research and interaction design principles.","Figma, Maze, Adobe XD","UX design roles have over 34,000 annual openings according to BLS, ranking among the top digital design career paths.",U.S. Bureau of Labor Statistics,Occupational Outlook Handbook: Web Developers and Digital Designers,Apr 2024,https://www.bls.gov/ooh/computer-and-information-technology/web-developers.htm,"""UX Designer"" OR ""Product Designer"" entry level jobs 2025",,"Visual composition and typography from graphic design form the foundation; UX requires adding research methods, interaction design, and Figma proficiency.",,2
27-1014.00,AI Pipeline Supervisor,"Manages the integration of AI generation tools into animation and VFX production pipelines, setting standards and quality controls for AI-assisted asset creation.","Runway ML, Stable Diffusion, Shotgrid","Studios using AI-assisted pipelines report 40-60% reduction in background art production time, creating new supervisory roles for AI output quality.",Animation Guild (IATSE Local 839),AI in Animation: 2024 Member Survey,Jun 2024,https://animationguild.org/,"""AI Pipeline"" OR ""AI VFX Supervisor"" animation jobs 2025",,Senior animators who understand the full production pipeline are best positioned to supervise AI tool integration; the shift is from production to oversight.,,4
27-1014.00,Real-Time Experience Designer,"Creates interactive and real-time visual experiences for gaming, XR, and virtual production using game engines and AI-driven procedural content generation.","Unreal Engine, Unity, Houdini","The virtual production market is expected to reach $5.1 billion by 2027, driven by LED volume technology and real-time rendering adoption.",Allied Market Research,Virtual Production Market Report,Nov 2023,https://www.alliedmarketresearch.com/virtual-production-market,"""Real-Time Designer"" OR ""Virtual Production Artist"" jobs 2025",,"Animation and 3D skills carry directly into real-time engines; the shift requires learning game engine workflows, real-time lighting, and procedural generation.",,3
27-1014.00,Generative AI Art Director,"Directs AI image and video generation tools to produce creative assets at scale for advertising and entertainment, maintaining brand consistency and creative vision.","Midjourney, Adobe Firefly, DALL-E 3",Creative professionals using AI tools report completing concept development phases 3-5x faster than traditional workflows.,Adobe,Adobe Creative Economy Report,Jan 2024,https://www.adobe.com/creativecloud/business/teams/resources/creative-economy.html,"""Generative AI"" art director creative director jobs 2025",,Senior animators with strong creative direction skills are well-suited to directing AI generation tools; the shift is from making assets to directing their creation.,,4
27-1021.00,AI-Augmented Product Designer,"Uses generative design software and AI tools to explore product form variations within manufacturing constraints, accelerating concept and prototyping phases.","Autodesk Fusion 360 Generative Design, nTopology, Midjourney","Generative design adoption in manufacturing grew 45% in 2023, with companies reporting 30-50% reduction in design iteration time.",Autodesk Research,State of Design and Make Report,Oct 2023,https://www.autodesk.com/research/publications/state-of-design-make,"""Product Designer"" generative design AI manufacturing jobs 2025",,Industrial designers already understand manufacturing constraints and materials; this role adds generative AI tool proficiency and the ability to evaluate AI-produced forms.,,3
27-1021.00,Sustainable Product Design Specialist,"Designs physical products with lifecycle analysis and sustainable materials as primary constraints, using AI tools to model environmental impact.","Autodesk Sustainability, SimaPro, Rhino Grasshopper",Job postings requiring sustainable design skills grew 40% year-over-year in 2023 across manufacturing and consumer goods sectors.,Lightcast,Green Economy Jobs Report,Aug 2024,https://lightcast.io/resources/research,"""Sustainable Product Designer"" OR ""Circular Design"" specialist jobs 2025",,Industrial designers' core skills in materials and manufacturing translate directly; this role adds lifecycle analysis tools and sustainable materials expertise.,,3
27-1021.00,XR Spatial Product Designer,"Designs products and experiences bridging physical and digital, including AR product visualization and spatial computing interfaces.","Reality Composer Pro, Unity, Figma",Spatial computing platforms have created new demand for designers who bridge physical product and 3D spatial interface design.,U.S. Bureau of Labor Statistics,Occupational Outlook Handbook: Industrial Designers,Apr 2024,https://www.bls.gov/ooh/arts-and-design/industrial-designers.htm,"""Spatial Designer"" AR product design Apple Vision Pro jobs 2025",,Industrial designers' 3D spatial thinking and physical product expertise are core prerequisites; the shift requires learning spatial UI and AR development tools.,,4
27-1022.00,Digital Fashion Designer,"Creates virtual clothing and accessories for digital platforms including gaming, virtual worlds, and digital-native apparel, using 3D garment simulation software.","CLO 3D, Marvelous Designer, Adobe Substance",The digital fashion market is projected to reach $6.2 billion by 2026 as gaming and virtual worlds drive demand for digital-first apparel design.,Allied Market Research,Digital Fashion Market Report,Sep 2023,https://www.alliedmarketresearch.com/digital-fashion-market,"""Digital Fashion Designer"" 3D virtual clothing jobs 2025",,Fashion design fundamentals transfer directly to 3D garment simulation; the shift is from physical to digital-native tools.,,2
27-1022.00,Sustainable Fashion Technologist,Develops and specifies sustainable materials and production methods for fashion brands focused on circular design and environmental transparency.,"Fibertrace, Sourcemap, Adobe Illustrator","75% of fashion companies are now required by investors or regulation to report on supply chain sustainability, creating demand for technical sustainability roles.",McKinsey Global Institute,State of Fashion: Sustainability Report,Jan 2024,https://www.mckinsey.com/industries/retail/our-insights/state-of-fashion,"""Sustainable Fashion"" designer technologist jobs 2025",,Fashion designers' construction and production knowledge is the prerequisite; this role adds sustainability certification and supply chain transparency skills.,,3
27-1022.00,AI Costume Designer,"Uses AI generation tools to rapidly develop costume concepts for film, TV, and theater, directing digital renders before physical production to reduce sample costs.","Midjourney, Adobe Firefly, CLO 3D",Production designers using AI concept generation report 50% reduction in initial costume concept rounds before physical sampling begins.,Adobe,Adobe Creative Economy Report,Jan 2024,https://www.adobe.com/creativecloud/business/teams/resources/creative-economy.html,"""Costume Designer"" AI tools film TV production jobs 2025",,Fashion designers bring essential construction knowledge to costume design; the AI layer accelerates concept iteration while physical execution skills remain central.,,3
27-1013.00,Concept Artist,"Creates visual concepts for characters, environments, and props in pre-production for gaming, film, and animation, working closely with directors and production designers.","Photoshop, Procreate, Midjourney",The global video game concept art market is growing at 8% annually with studios reporting consistent unmet demand for senior concept artists.,U.S. Bureau of Labor Statistics,Occupational Outlook Handbook: Multimedia Artists and Animators,Apr 2024,https://www.bls.gov/ooh/arts-and-design/multimedia-artists-and-animators.htm,"""Concept Artist"" character environment game film jobs 2025",,"Fine artists' drawing, rendering, and compositional skills are direct prerequisites; concept art adds client brief interpretation and production pipeline integration.",,2
27-1013.00,AI Art Educator,"Teaches artists, students, and creative professionals how to use AI generation tools effectively while maintaining artistic integrity and foundational skills.","Midjourney, Stable Diffusion, Adobe Firefly",Enrollment in AI art and creative technology courses grew 300% between 2022 and 2024 at major art schools according to AIGA survey data.,AIGA,Design Census 2023,Nov 2023,https://designcensus.org/,"""AI Art"" instructor educator workshop facilitator jobs 2025",,Fine artists with strong foundational knowledge are credible teachers of AI tools; the shift adds pedagogy and curriculum development.,,3
27-1013.00,Public Art Specialist,"Creates large-scale public murals, sculptures, and installations for municipalities and cultural institutions, managing community engagement and grant funding alongside the artistic work.","Adobe Illustrator, SketchUp, Procreate",U.S. public art program budgets grew 15% annually from 2021-2024 as cities invested in cultural infrastructure post-pandemic.,Americans for the Arts,Public Art Year in Review,Feb 2024,https://www.americansforthearts.org/by-program/networks-and-councils/public-art-network,"""Public Artist"" mural installation specialist grants jobs 2025",,"Fine artists with an established practice have the creative credentials; public art adds proposal writing, community engagement, and grant management.",,3
